               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  38,            0.079734,            0.015223,                   0,           0.0011111,             0.33333,           0.0015956,          0.00015956,            0.054116,            0.013054,                   0,            0.065392,           0.0033916,           0.0033916
                  39,            0.080649,             0.01296,                   0,           0.0011111,             0.33333,           0.0015956,          0.00015956,            0.054116,            0.013054,                   0,             0.06447,           0.0034698,           0.0034698
                  40,            0.081261,            0.013469,                   0,                   0,                   0,                   0,                   0,            0.063144,            0.011973,                   0,            0.063547,           0.0035474,           0.0035474
                  41,            0.069494,            0.013128,                   0,                   0,                   0,                   0,                   0,            0.063144,            0.011973,                   0,            0.062625,           0.0036245,           0.0036245
                  42,            0.085761,            0.011233,                   0,           0.0011111,             0.33333,          0.00079201,          7.9201e-05,             0.05643,            0.012326,                   0,            0.061701,            0.003701,            0.003701
                  43,            0.078906,            0.010789,                   0,           0.0011111,             0.33333,          0.00079201,          7.9201e-05,             0.05643,            0.012326,                   0,            0.060777,            0.003777,            0.003777
                  44,            0.075222,            0.011621,                   0,           0.0022222,             0.66667,            0.003874,          0.00070579,            0.062443,            0.011346,                   0,            0.059852,           0.0038524,           0.0038524
                  45,            0.089862,            0.010699,                   0,           0.0022222,             0.66667,            0.003874,          0.00070579,            0.062443,            0.011346,                   0,            0.058927,           0.0039272,           0.0039272
                  46,            0.079373,            0.012939,                   0,           0.0022222,             0.66667,           0.0043707,           0.0005895,             0.05406,            0.012028,                   0,            0.058001,           0.0040015,           0.0040015
                  47,            0.077036,           0.0093731,                   0,           0.0022222,             0.66667,           0.0043707,           0.0005895,             0.05406,            0.012028,                   0,            0.057075,           0.0040752,           0.0040752
                  48,            0.079268,            0.014808,                   0,           0.0022222,             0.66667,           0.0020428,          0.00040855,            0.049769,            0.012052,                   0,            0.056148,           0.0041483,           0.0041483
                  49,            0.070744,            0.010716,                   0,           0.0022222,             0.66667,           0.0020428,          0.00040855,            0.049769,            0.012052,                   0,            0.055221,           0.0042209,           0.0042209
                  50,            0.072946,            0.012002,                   0,           0.0022222,             0.66667,           0.0065119,           0.0015678,            0.050914,            0.011839,                   0,            0.054293,           0.0042929,           0.0042929
                  51,            0.072715,            0.011021,                   0,           0.0022222,             0.66667,           0.0065119,           0.0015678,            0.050914,            0.011839,                   0,            0.053364,           0.0043643,           0.0043643
                  52,            0.073604,            0.014135,                   0,           0.0033333,                   1,           0.0073723,           0.0015766,            0.048668,            0.011729,                   0,            0.052435,           0.0044352,           0.0044352
                  53,            0.058768,            0.010937,                   0,           0.0033333,                   1,           0.0073723,           0.0015766,            0.048668,            0.011729,                   0,            0.051505,           0.0045055,           0.0045055
                  54,            0.070859,            0.013124,                   0,           0.0033333,                   1,            0.014282,           0.0032016,            0.041445,            0.012046,                   0,            0.050575,           0.0045752,           0.0045752
                  55,            0.078127,            0.013536,                   0,           0.0033333,                   1,            0.014282,           0.0032016,            0.041445,            0.012046,                   0,            0.049644,           0.0046444,           0.0046444
                  56,            0.076364,            0.011273,                   0,           0.0033333,                   1,            0.026223,           0.0081096,            0.044436,            0.011587,                   0,            0.048713,            0.004713,            0.004713
                  57,             0.06283,            0.011452,                   0,           0.0033333,                   1,            0.026223,           0.0081096,            0.044436,            0.011587,                   0,            0.047781,            0.004781,            0.004781
                  58,            0.057415,            0.014063,                   0,           0.0033333,                   1,             0.03452,           0.0076834,            0.046639,            0.010992,                   0,            0.046848,           0.0048485,           0.0048485
                  59,            0.069907,            0.014563,                   0,           0.0033333,                   1,             0.03452,           0.0076834,            0.046639,            0.010992,                   0,            0.045915,           0.0049154,           0.0049154
                  60,            0.070519,            0.010596,                   0,           0.0033333,                   1,            0.016889,           0.0055925,            0.050129,            0.010564,                   0,            0.044982,           0.0049817,           0.0049817
